Code;Brand;Type;Colour;Size;Size2;Size3;Size4;Sex;    Price
1321355;Adidas;Yeezy Boost 350 V;Brown;38;40;44;50;mindkettő;405
1321356;Adidas;NY;Black;38;39;44;50;mindkettő;76
1321357;Adidas;Multix;White;38;39;46;49;férfi;1341
1321358;Adidas;Nizza Platform;Red;38;41;46;49;férfi;1283
1321359;Adidas;Astir;Yellow;35;41;43;51;férfi;85
1321360;Adidas;Adilette Comfort;Purple;36;40;43;51;mindkettő;886
1321361;Adidas;Deerupt Runner;Blue;37;41;47;50;mindkettő;635
1321362;Adidas;Samba OG;Brown;36;39;45;50;nő;1261
1321363;Adidas;Tubular Shadow;Black;37;39;45;50;mindkettő;328
1321364;Adidas;Swift Run;White;36;42;43;51;férfi;377
1321365;Adidas;Runfalcon;Red;36;41;47;48;férfi;950
1321366;Adidas;NMD R1 V;Yellow;36;40;43;48;mindkettő;183
1321367;Adidas;Continental 80 Stripes ;Purple;38;41;46;49;mindkettő;421
1321368;Adidas;Retropy E5;Blue;37;41;47;50;férfi;842
1321369;Adidas;Yeezy Boost;Brown;36;39;44;49;mindkettő;928
1321370;Adidas;ZX 1K Boost;Black;35;40;47;48;férfi;1278
1321371;Adidas;Duramo SL;White;35;39;47;48;mindkettő;726
1321372;Adidas;Sleek;Red;35;39;45;48;férfi;1294
2432314;Adidas;Forum Mid;Yellow;37;40;43;49;mindkettő;497
2432315;Jordan;1;Blue;37;42;44;48;mindkettő;897
2432316;Nike Air Jordan ;1;Brown;38;41;47;48;mindkettő;360
2432317;Jordan;1 Mid;White;36;39;46;49;nő;850
2432318;Jordan;1 Retro;Blue;35;39;47;49;férfi;1278
2432319;Nike Air Jordan ;6;Black;37;42;47;49;férfi;1157
2432320;Jordan;5 Retro;Gray;37;42;43;51;férfi;703
2432321;Jordan;4 Retro;White;37;42;45;51;mindkettő;888
2432322;Jordan;1 Retro OG;Red;37;42;44;49;mindkettő;399
2432323;Jordan;11 Retro;Black;36;39;44;50;férfi;1091
2432324;Jordan;3 Retro;White;35;39;47;48;mindkettő;222
2432325;Jordan;6 Retro;Red;36;42;46;51;nő;785
2432326;Jordan;13;White;37;42;46;51;mindkettő;247
2432327;Jordan;12 Retro;Gray;36;42;44;51;nő;855
2432328;Jordan;13 Retro;Black;36;40;46;51;férfi;1354
2432329;Jordan;7 Retro;Blue;36;40;45;51;mindkettő;1286
2432330;Jordan;Delta;White;38;39;47;51;nő;777
2432331;Jordan;2 Retro;Red;38;40;47;49;mindkettő;89
2432332;Jordan;9 Retro;Black;36;41;43;51;férfi;612
2432333;Jordan;14 Retro;White;37;41;43;49;mindkettő;1030
2432334;Jordan;10 Retro;Red;37;40;46;48;férfi;919
2432335;Jordan;8 Retro;White;37;41;47;49;mindkettő;1223
2432336;Jordan;11 CMFT;Gray;38;41;45;48;férfi;1107
2432337;Jordan;Spizike;Black;37;39;43;50;mindkettő;1094
2432338;Jordan;Future;Blue;38;41;45;51;nő;699
2432339;Jordan;Air 200E;White;35;42;45;51;mindkettő;611
2432340;Jordan;MA2;Red;37;39;47;51;nő;304
2432341;Jordan;Zion 1;Black;37;41;46;51;mindkettő;1137
2432342;Jordan;6 Rings;White;38;40;47;48;nő;1091
2432343;Jordan;Delta 2;Red;38;41;44;49;nő;1254
2432344;Jordan;Max Aura 3;White;37;42;43;51;férfi;1106
2432345;Jordan;Max 200;Gray;36;42;43;48;férfi;1220
2432346;Jordan;Maxin 200;Black;38;41;44;50;mindkettő;1201
2432347;Jordan;Access;Blue;35;39;47;49;mindkettő;1115
2432348;Jordan;Air Cadence;White;38;39;45;48;mindkettő;717
2432349;Jordan;Why Not ZER0;Red;38;41;44;50;férfi;607
2432350;Jordan;Off-White;Black;38;40;47;51;nő;425
2432351;Jordan;Formula 23;White;35;41;43;49;mindkettő;101
